lesson,mold1_ru,mold1_en,mold2_ru,mold2_en,m1_ex1_ru,m1_ex1_en,m1_ex2_ru,m1_ex2_en,m1_ex3_ru,m1_ex3_en,m1_ex4_ru,m1_ex4_en,m1_ex5_ru,m1_ex5_en,m2_ex1_ru,m2_ex1_en,m2_ex2_ru,m2_ex2_en,m2_ex3_ru,m2_ex3_en,m2_ex4_ru,m2_ex4_en,m2_ex5_ru,m2_ex5_en,exercise,tags
14,"(кто-то) наверное надеется, что…",(someone) probably hopes that…,(кому-то) важно + инфинитив,It's important for (someone) to…,"он наверное надеется, что это хорошая идея.",he probably hopes that it's a good idea.,"они наверное надеется, что я не хочу спорить.",they probably hopes that I don't want to argue.,"мы наверное надеется, что мы справимся.",we probably hopes that we'll manage.,"она наверное надеется, что я не хочу спорить.",she probably hopes that I don't want to argue.,"ты наверное надеется, что это нормально.",you probably hopes that it's normal.,им важно выйти на прогулку,It's important for they to go for a walk,нам важно продолжить учиться,It's important for we to continue studying,мне важно поговорить с ним,It's important for I to talk to him,тебе важно лечь спать пораньше,It's important for you to go to bed earlier,ей важно повторить ещё раз,It's important for she to repeat again,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L014.m4a",SoarSystem::L014
15,Потому что…,Because…,"(кто-то) наверное считает, что…",(someone) probably believes that…,"Пока я ем, мне нужен контент.","While I eat, I need content.","Когда я прихожу домой, я сразу тянусь к телефону.","When I get home, I reach for my phone.","Если я начну сейчас, то успею.","If I start now, I'll make it.","Если получится, я сделаю минимум.","If it works out, I'll do the minimum.","После того как я поем, я запишу короткое аудио.","After I eat, I'll record a short audio.","ты наверное считает, что всё зависит от ситуации.",you probably believes that it depends on the situation.,"он наверное считает, что это реально помогает.",he probably believes that it really helps.,"я наверное считает, что она права.",I probably believes that she's right.,"мы наверное считает, что мне нужно больше времени.",we probably believes that I need more time.,"она наверное считает, что она права.",she probably believes that she's right.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L015.m4a",SoarSystem::L015
16,Почему?,Why?,"По-моему,…","In my opinion,…",Что это значит в обычной речи?,What does this mean in everyday speech?,Можно вопрос? Я запутался/запуталась.,Can I ask a question? I'm confused.,Что ты имеешь в виду?,What do you mean?,"Можно ещё раз, но помедленнее?","Can you repeat, but slower?",Как сказать «мне лень» по-русски?,How do you say 'I can't be bothered' in Russian?,"По-моему,это не так страшно.","In my opinion,it's not that scary.","По-моему,всё зависит от ситуации.","In my opinion,it depends on the situation.","По-моему,я не хочу спорить.","In my opinion,I don't want to argue.","По-моему,она права.","In my opinion,she's right.","По-моему,я не хочу спорить.","In my opinion,I don't want to argue.","Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L016.m4a",SoarSystem::L016
17,(кто-то) предпочитает + инфинитив,(someone) prefers to…,(кто-то) передумал(а) + инфинитив,(someone) changed their mind and…,они предпочитает поговорить с ним,they prefers to talk to him,мы предпочитает записать аудио,we prefers to record audio,он предпочитает начать учиться,he prefers to start studying,ты предпочитает выйти на прогулку,you prefers to go for a walk,она предпочитает поговорить с ней,she prefers to talk to her,он передумал(а) лечь спать пораньше,he changed their mind and go to bed earlier,она передумал(а) проверить это,she changed their mind and check it,они передумал(а) поговорить с ней,they changed their mind and talk to her,ты передумал(а) продолжить учиться,you changed their mind and continue studying,я передумал(а) записать аудио,I changed their mind and record audio,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L017.m4a",SoarSystem::L017
18,"(кто-то) не знает, почему…",(someone) doesn't know why…,"Мне кажется, что…",It seems to me that…,"она не знает, почему почему я это откладываю.",she doesn't know why why I procrastinate.,"они не знает, почему почему это не получается.",they doesn't know why why it isn't working.,"я не знает, почему почему я это откладываю.",I doesn't know why why I procrastinate.,"мы не знает, почему почему это не получается.",we doesn't know why why it isn't working.,"он не знает, почему почему это не получается.",he doesn't know why why it isn't working.,"Мне кажется, что мне нужно больше времени.",It seems to me that I need more time.,"Мне кажется, что всё зависит от ситуации.",It seems to me that it depends on the situation.,"Мне кажется, что это нормально.",It seems to me that it's normal.,"Мне кажется, что это не так страшно.",It seems to me that it's not that scary.,"Мне кажется, что это реально помогает.",It seems to me that it really helps.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L018.m4a",SoarSystem::L018
19,"(кто-то) думает, что…",(someone) thinks that…,Давайте + инфинитив,Let's… (polite/plural),"ты думаешь, что это не так страшно.",you thinks that it's not that scary.,"она думает, что это реально помогает.",she thinks that it really helps.,"он думает, что это не так страшно.",he thinks that it's not that scary.,"мы думаем, что я не хочу спорить.",we thinks that I don't want to argue.,"они думают, что это нормально.",they thinks that it's normal.,Давайте продолжить учиться,Let's continue studying (polite/plural),Давайте выйти на прогулку,Let's go for a walk (polite/plural),Давайте записать аудио,Let's record audio (polite/plural),Давайте проверить это,Let's check it (polite/plural),Давайте поговорить с ним,Let's talk to him (polite/plural),"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L019.m4a",SoarSystem::L019
20,"(кто-то) верит, что…",(someone) believes that…,(кто-то) перестал(а) + инфинитив,(someone) stopped…,"они верит, что она права.",they believes that she's right.,"я верит, что он просто устал.",I believes that he's just tired.,"она верит, что мы справимся.",she believes that we'll manage.,"ты верит, что он просто устал.",you believes that he's just tired.,"мы верит, что это нормально.",we believes that it's normal.,я перестал(а) лечь спать пораньше,I stopped go to bed earlier,мы перестал(а) начать учиться,we stopped start studying,она перестал(а) поговорить с ней,she stopped talk to her,он перестал(а) повторить ещё раз,he stopped repeat again,ты перестал(а) продолжить учиться,you stopped continue studying,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L020.m4a",SoarSystem::L020
21,Поэтому…,That's why…,"(кто-то) уверен(а) в том, что…",(someone) is sure that…,"Если я начну сейчас, то успею.","If I start now, I'll make it.","Когда я прихожу домой, я сразу тянусь к телефону.","When I get home, I reach for my phone.","Хотя я устал(а), я всё равно начну.","Although I'm tired, I'll still start.","После того как я поем, я запишу короткое аудио.","After I eat, I'll record a short audio.","Как только я начну, станет легче.","As soon as I start, it gets easier.","он уверен(а) в том, что я не хочу спорить.",he is sure that I don't want to argue.,"ты уверен(а) в том, что он просто устал?",you is sure that he's just tired.,"они уверен(а) в том, что я не хочу спорить.",they is sure that I don't want to argue.,"мы уверен(а) в том, что это нормально.",we is sure that it's normal.,"она уверен(а) в том, что это хорошая идея.",she is sure that it's a good idea.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L021.m4a",SoarSystem::L021
22,Можно помедленнее?,Can you go slower?,"(кто-то) понимает, что…",(someone) understands that…,"Можно ещё раз, но помедленнее?","Can you repeat, but slower?",Что ты имеешь в виду?,What do you mean?,Можно вопрос? Я запутался/запуталась.,Can I ask a question? I'm confused.,Что это значит в обычной речи?,What does this mean in everyday speech?,Как сказать «мне лень» по-русски?,How do you say 'I can't be bothered' in Russian?,"я понимаю, что это нормально.",I understands that it's normal.,"они понимают, что всё зависит от ситуации.",they understands that it depends on the situation.,"мы понимаем, что это реально помогает.",we understands that it really helps.,"она понимает, что это реально помогает.",she understands that it really helps.,"он понимает, что я не хочу спорить.",he understands that I don't want to argue.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L022.m4a",SoarSystem::L022
23,(кому-то) легко + инфинитив,It's easy for (someone) to…,(кому-то) нельзя + инфинитив,(someone) mustn't / can't…,нам легко повторить ещё раз,It's easy for we to repeat again,тебе легко проверить это,It's easy for you to check it,им легко начать учиться,It's easy for they to start studying,ему легко поговорить с ней,It's easy for he to talk to her,ей легко продолжить учиться,It's easy for she to continue studying,ему нельзя записать аудио,he mustn't / can't record audio,ей нельзя поговорить с ним,she mustn't / can't talk to him,нам нельзя начать учиться,we mustn't / can't start studying,им нельзя перестать откладывать,they mustn't / can't stop procrastinating,тебе нельзя повторить ещё раз,you mustn't / can't repeat again,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L023.m4a",SoarSystem::L023
24,"Проблема в том, что…",The problem is that…,"(кто-то) наверное знает, что…",(someone) probably knows that…,"Проблема в том, что мы справимся.",The problem is that we'll manage.,"Проблема в том, что мне нужно больше времени?",The problem is that I need more time.,"Проблема в том, что это нормально.",The problem is that it's normal.,"Проблема в том, что всё зависит от ситуации.",The problem is that it depends on the situation.,"Проблема в том, что она права.",The problem is that she's right.,"он наверное знает, что всё зависит от ситуации.",he probably knows that it depends on the situation.,"она наверное знает, что мне нужно больше времени.",she probably knows that I need more time.,"они наверное знает, что я не хочу спорить.",they probably knows that I don't want to argue.,"ты наверное знает, что я не хочу спорить.",you probably knows that I don't want to argue.,"я наверное знает, что всё зависит от ситуации.",I probably knows that it depends on the situation.,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L024.m4a",SoarSystem::L024
25,"(кто-то) не понимает, почему…",(someone) doesn't understand why…,(кто-то) хочет + инфинитив,(someone) wants to…,"мы не понимает, почему почему это не получается.",we doesn't understand why why it isn't working.,"я не понимает, почему почему это не получается.",I doesn't understand why why it isn't working.,"он не понимает, почему почему я это откладываю.",he doesn't understand why why I procrastinate.,"она не понимает, почему почему это не получается.",she doesn't understand why why it isn't working.,"ты не понимает, почему почему это не получается.",you doesn't understand why why it isn't working.,я хочет проверить это,I wants to check it,они хочет поговорить с ней,they wants to talk to her,мы хочет поговорить с ним?,we wants to talk to him,он хочет перестать откладывать,he wants to stop procrastinating,она хочет начать учиться,she wants to start studying,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L025.m4a",SoarSystem::L025
26,"(кому-то) сказали, что…",(someone) was told that…,(кто-то) не умеет + инфинитив,(someone) doesn't know how to…,"ей сказали, что это хорошая идея.",she was told that it's a good idea.,"тебе сказали, что мы справимся?",you was told that we'll manage.,"ему сказали, что она права.",he was told that she's right.,"нам сказали, что это не так страшно.",we was told that it's not that scary.,"им сказали, что это не так страшно.",they was told that it's not that scary.,мы не умеет выйти на прогулку,we doesn't know how to go for a walk,я не умеет записать аудио,I doesn't know how to record audio,они не умеет повторить ещё раз,they doesn't know how to repeat again,он не умеет поговорить с ней,he doesn't know how to talk to her,ты не умеет перестать откладывать,you doesn't know how to stop procrastinating,"Bad day (≤5 min):
• Read both molds once.
• Listen to 2 examples per mold.
• Say them out loud once.

Normal (10–25 min):
1) Input (3–5 min): Listen + read all examples.
2) Controlled output (3–7 min): Change 2 examples per mold.
3) Free output (3–7 min): Write 2–4 NEW sentences using BOTH molds.
4) Proof (1–2 min): Record 10–15s reading your sentences aloud.
Save as: L026.m4a",SoarSystem::L026
